bus_number,stop_sequence,stop_name
117 - Sangam Nagar to Sangam Nagar,3,B P T Colony Wadala East (Antop Hill) #1
117 - Sangam Nagar to Sangam Nagar,4,Indian Hume Pipe Company (Antop Hill) #2
117 - Sangam Nagar to Sangam Nagar,5,Sangam Nagar (Antop Hill) #2
117 - Sangam Nagar to Sangam Nagar,6,Wadala Flyover Bridge 1 (Antop Hill) #1
117 - Sangam Nagar to Sangam Nagar,7,B P T Colony Wadala East (Antop Hill) #2
117 - Sangam Nagar to Sangam Nagar,8,Wadala Flyover Bridge 1 (Antop Hill) #2
117 - Sangam Nagar to Sangam Nagar,9,Wadala Station West #1
117 - Sangam Nagar to Sangam Nagar,10,Wadala Church #5
117 - Sangam Nagar to Sangam Nagar,11,Barkat Ali Dargah (Antop Hill) #4
13 - Wadala Station West to Mahatma Gandhi Hospital,1,Wadala Station West #5
13 - Wadala Station West to Mahatma Gandhi Hospital,2,Wadala Station Or P And T Quarters #1
13 - Wadala Station West to Mahatma Gandhi Hospital,3,Azad Nagar (Wadala) #3
13 - Wadala Station West to Mahatma Gandhi Hospital,4,Madhav Nagar (Wadala) #2
13 - Wadala Station West to Mahatma Gandhi Hospital,5,Dyaneshwar Nagar (Sewri) #1
13 - Wadala Station West to Mahatma Gandhi Hospital,6,TB Hospital (Parel) #2
13 - Wadala Station West to Mahatma Gandhi Hospital,7,BEST Colony (Wadala) #2
13 - Wadala Station West to Mahatma Gandhi Hospital,8,Bhoiwada Or Mane Master Chowk (Wadala) #5
13 - Wadala Station West to Mahatma Gandhi Hospital,9,Bhoiwada Or Mane Master Chowk (Wadala) #6
13 - Wadala Station West to Mahatma Gandhi Hospital,10,Tata Hospital (Parel) #1
13 - Wadala Station West to Mahatma Gandhi Hospital,11,K E M Hospital (Parel) #1
13 - Mahatma Gandhi Hospital to Wadala Station West,1,Mahatma Gandhi Hospital (Parel) #3
13 - Mahatma Gandhi Hospital to Wadala Station West,2,Dr Shirodkar High School
